experiment,cor,pp,bp,dp,iteration_increase
campylobacter_jejuni_batch1_merged,0.6,0.21666666666666667,2.0,0.10000000000000002,0.16666666666666666
campylobacter_jejuni_batch2_merged,0.6,0.20000000000000004,2.0,0.10000000000000002,0.10000000000000002
campylobacter_jejuni_batch3_merged,0.4166666666666667,0.31666666666666665,2.0,0.13333333333333333,0.11666666666666665
campylobacter_jejuni_batch4_merged,0.5,0.4000000000000001,2.0,0.16666666666666666,0.11666666666666665
campylobacter_jejuni_batch5_merged,0.4000000000000001,0.3333333333333333,2.0,0.21666666666666667,0.13333333333333333
campylobacter_jejuni_batch6_merged,0.4000000000000001,0.4000000000000001,2.0,0.21666666666666667,0.13333333333333333
campylobacter_jejuni_batch7_merged,0.4000000000000001,0.3666666666666667,2.0,0.25,0.18333333333333335
campylobacter_jejuni_batch8_merged,0.4000000000000001,0.4000000000000001,2.0,0.25,0.21666666666666667
campylobacter_jejuni_batch9_merged,0.4000000000000001,0.4000000000000001,2.0,0.25,0.20833333333333334
campylobacter_jejuni_batch10_merged,0.4000000000000001,0.4000000000000001,2.0,0.25,0.20833333333333334
ecoli_batch1_merged,0.4166666666666667,0.3333333333333333,2.0,0.15,0.16666666666666666
ecoli_batch2_merged,0.5,0.4000000000000001,2.0,0.2333333333333333,0.16666666666666666
ecoli_batch3_merged,0.4000000000000001,0.4000000000000001,2.0,0.25,0.225
ecoli_batch4_merged,0.4000000000000001,0.3666666666666667,2.0,0.25,0.225
ecoli_batch5_merged,0.4000000000000001,0.4000000000000001,2.0,0.25,0.225
ecoli_batch6_merged,0.4000000000000001,0.4000000000000001,2.0,0.25,0.21666666666666667
ecoli_batch7_merged,0.4000000000000001,0.4000000000000001,2.0,0.25,0.20833333333333334
ecoli_batch8_merged,0.4000000000000001,0.4000000000000001,2.0,0.25,0.225
ecoli_batch9_merged,0.4000000000000001,0.4000000000000001,2.0,0.25,0.225
ecoli_batch10_merged,0.4000000000000001,0.4000000000000001,2.0,0.25,0.20000000000000004
salmonella_enterica_batch1_merged,0.4000000000000001,0.3333333333333333,2.0,0.25,0.19166666666666665
salmonella_enterica_batch2_merged,0.5333333333333333,0.4000000000000001,2.0,0.21666666666666667,0.225
salmonella_enterica_batch3_merged,0.4000000000000001,0.4000000000000001,2.0,0.25,0.225
salmonella_enterica_batch4_merged,0.43333333333333335,0.3833333333333333,2.0,0.25,0.225
salmonella_enterica_batch5_merged,0.4000000000000001,0.4000000000000001,2.0,0.2333333333333333,0.225
salmonella_enterica_batch6_merged,0.4666666666666666,0.3833333333333333,2.0,0.25,0.225
salmonella_enterica_batch7_merged,0.45,0.3833333333333333,2.0,0.25,0.21666666666666667
salmonella_enterica_batch8_merged,0.4000000000000001,0.4000000000000001,2.0,0.25,0.225
salmonella_enterica_batch9_merged,0.4000000000000001,0.4000000000000001,2.0,0.25,0.225
salmonella_enterica_batch10_merged,0.45,0.4000000000000001,2.0,0.25,0.225
staph_aureus_batch1_merged,0.4000000000000001,0.3499999999999999,2.0,0.15,0.125
staph_aureus_batch2_merged,0.45,0.3833333333333333,2.0,0.25,0.19999999999999998
staph_aureus_batch3_merged,0.43333333333333335,0.3,2.0,0.25,0.16666666666666666
staph_aureus_batch4_merged,0.4000000000000001,0.25,2.0,0.25,0.21666666666666667
staph_aureus_batch5_merged,0.4166666666666667,0.3499999999999999,2.0,0.25,0.18333333333333335
staph_aureus_batch6_merged,0.5166666666666667,0.3833333333333333,2.0,0.2333333333333333,0.21666666666666667
staph_aureus_batch7_merged,0.45,0.4000000000000001,2.0,0.25,0.20833333333333334
staph_aureus_batch8_merged,0.5333333333333333,0.3499999999999999,2.0,0.25,0.225
staph_aureus_batch9_merged,0.4166666666666667,0.4000000000000001,2.0,0.25,0.21666666666666667
staph_aureus_batch10_merged,0.4166666666666667,0.3833333333333333,2.0,0.25,0.21666666666666667
